,category,set,Name,Listed Price,Market Price,over_under
670,Magic: The Gathering,Magic 2014 (M14),Thorncaster Sliver,1.65,2.84,-1.19
341,Magic: The Gathering,Magic Origins,Chandra's Ignition,8.8,9.93,-1.129999999999999
613,Magic: The Gathering,Magic 2011 (M11),Serra Ascendant,16.0,17.12,-1.120000000000001
360,Magic: The Gathering,Mirrodin,Disciple of the Vault,0.95,2.04,-1.09
408,Magic: The Gathering,Mirrodin Besieged,Phyrexian Crusader,3.5,4.55,-1.0499999999999998
62,Magic: The Gathering,War of the Spark,Kaya's Ghostform,0.2,1.09,-0.8900000000000001
712,Magic: The Gathering,Fifth Dawn,Night's Whisper,2.5,3.32,-0.8199999999999998
327,Magic: The Gathering,Magic 2011 (M11),Relentless Rats,2.75,3.52,-0.77
547,Magic: The Gathering,War of the Spark,Casualties of War,0.2,0.96,-0.76
499,Magic: The Gathering,Core Set 2020,"Chandra, Acolyte of Flame",0.39,1.1,-0.7100000000000001
672,Magic: The Gathering,Rivals of Ixalan,Mastermind's Acquisition,0.75,1.46,-0.71
1,Magic: The Gathering,Theros Beyond Death,Island,1.0,1.69,-0.69
445,Magic: The Gathering,Urza's Destiny,Bubbling Muck,1.99,2.57,-0.5799999999999998
514,Magic: The Gathering,Return to Ravnica,Rest in Peace,0.7,1.27,-0.5700000000000001
688,Magic: The Gathering,Shadows over Innistrad,"Sorin, Grim Nemesis",2.0,2.57,-0.5699999999999998
2,Magic: The Gathering,Wilds of Eldraine,Up the Beanstalk,3.5,4.04,-0.54
285,Magic: The Gathering,Innistrad: Midnight Hunt,Vanquish the Horde,3.1,3.63,-0.5299999999999998
92,Magic: The Gathering,Dominaria United,Cut Down,0.75,1.25,-0.5
291,Magic: The Gathering,Ikoria: Lair of Behemoths,Eerie Ultimatum,6.06,6.52,-0.45999999999999996
510,Magic: The Gathering,Core Set 2021,"Liliana, Waker of the Dead",2.6,3.05,-0.44999999999999973
490,Magic: The Gathering,Strixhaven: School of Mages,Strixhaven Stadium,0.2,0.64,-0.44
350,Magic: The Gathering,Unfinity,Clown Car,1.25,1.66,-0.4099999999999999
557,Magic: The Gathering,Guilds of Ravnica,Risk Factor,0.75,1.12,-0.3700000000000001
447,Magic: The Gathering,Eldritch Moon,"Thalia, Heretic Cathar",4.0,4.37,-0.3700000000000001
339,Magic: The Gathering,The Brothers' War: Retro Frame Artifacts,Quicksilver Amulet,1.0,1.36,-0.3600000000000001
652,Magic: The Gathering,Core Set 2020,"Gargos, Vicious Watcher",0.5,0.86,-0.36
590,Magic: The Gathering,Khans of Tarkir,Rattleclaw Mystic,0.14,0.5,-0.36
372,Magic: The Gathering,Ixalan,Thaumatic Compass,1.57,1.92,-0.34999999999999987
396,Magic: The Gathering,Return to Ravnica,Worldspine Wurm,8.0,8.33,-0.33000000000000007
145,Magic: The Gathering,Khans of Tarkir,Stubborn Denial,0.95,1.27,-0.32000000000000006
390,Magic: The Gathering,Fate Reforged,Shamanic Revelation,0.25,0.57,-0.31999999999999995
335,Magic: The Gathering,March of the Machine,Invasion of Fiora,0.25,0.57,-0.31999999999999995
272,Magic: The Gathering,Phyrexia: All Will Be One,Ichormoon Gauntlet,6.24,6.56,-0.3199999999999994
543,Magic: The Gathering,Iconic Masters,Windfall,3.8,4.11,-0.3100000000000005
31,Magic: The Gathering,Dominaria United,Forest (Showcase),0.69,1.0,-0.31000000000000005
74,Magic: The Gathering,Streets of New Capenna,Slip Out the Back,0.69,0.97,-0.28
4,Magic: The Gathering,The Lost Caverns of Ixalan,Tarrian's Soulcleaver,2.08,2.36,-0.2799999999999998
101,Magic: The Gathering,March of the Machine,Negate,0.25,0.52,-0.27
281,Magic: The Gathering,War of the Spark,God-Pharaoh's Statue,0.2,0.47,-0.26999999999999996
249,Magic: The Gathering,Magic 2012 (M12),Ponder,1.92,2.16,-0.2400000000000002
665,Magic: The Gathering,Fate Reforged,"Dromoka, the Eternal",0.2,0.44,-0.24
425,Magic: The Gathering,Shadows over Innistrad,Traverse the Ulvenwald,0.77,0.99,-0.21999999999999997
600,Magic: The Gathering,Magic Origins,Rogue's Passage,0.25,0.46,-0.21000000000000002
175,Magic: The Gathering,Wilds of Eldraine,"Talion, the Kindly Lord (Borderless)",5.25,5.45,-0.20000000000000018
50,Magic: The Gathering,The Brothers' War: Retro Frame Artifacts,Swiftfoot Boots,1.5,1.69,-0.18999999999999995
235,Magic: The Gathering,Revised Edition,Dark Ritual,0.9,1.08,-0.18000000000000005
245,Magic: The Gathering,Modern Horizons 2,Obsidian Charmaw,0.35,0.53,-0.18000000000000005
487,Magic: The Gathering,Innistrad: Crimson Vow,"Torens, Fist of the Angels",0.75,0.93,-0.18000000000000005
218,Magic: The Gathering,Commander Masters,All That Glitters,0.75,0.93,-0.18000000000000005
422,Magic: The Gathering,Streets of New Capenna,Tenacious Underdog,0.25,0.43,-0.18
203,Magic: The Gathering,Universes Beyond: Doctor Who,Chaos Warp,0.75,0.92,-0.17000000000000004
197,Magic: The Gathering,Modern Horizons 2,Chitterspitter,0.25,0.42,-0.16999999999999998
230,Magic: The Gathering,Modern Horizons,Talisman of Creativity,1.0,1.17,-0.16999999999999993
128,Magic: The Gathering,Throne of Eldraine,Deafening Silence,1.0,1.17,-0.16999999999999993
78,Magic: The Gathering,Wilds of Eldraine: Enchanting Tales,Hardened Scales,2.0,2.16,-0.16000000000000014
208,Magic: The Gathering,The Lost Caverns of Ixalan,Wail of the Forgotten (Borderless),0.15,0.31,-0.16
697,Magic: The Gathering,March of the Machine,Essence of Orthodoxy,0.25,0.41,-0.15999999999999998
641,Magic: The Gathering,Aether Revolt,"Baral, Chief of Compliance",1.4,1.55,-0.15000000000000013
506,Magic: The Gathering,Strixhaven: Mystical Archives,Faithless Looting,0.5,0.65,-0.15000000000000002
180,Magic: The Gathering,War of the Spark,Contentious Plan,0.15,0.3,-0.15
93,Magic: The Gathering,The Lost Caverns of Ixalan,Kutzil's Flanker,0.2,0.35,-0.14999999999999997
241,Magic: The Gathering,Ravnica Allegiance,Growth Spiral,0.25,0.39,-0.14
606,Magic: The Gathering,Amonkhet,Glorybringer,0.25,0.39,-0.14
54,Magic: The Gathering,The Lost Caverns of Ixalan,Wail of the Forgotten,0.15,0.29,-0.13999999999999999
306,Magic: The Gathering,Double Masters 2022,Monastery Swiftspear,0.5,0.63,-0.13
34,Magic: The Gathering,Kaldheim,Snow-Covered Swamp (280),0.3,0.43,-0.13
365,Magic: The Gathering,The Lost Caverns of Ixalan,Squirming Emergence (Extended Art),0.75,0.88,-0.13
397,Magic: The Gathering,Strixhaven: School of Mages,Oriq Loremage,0.25,0.38,-0.13
321,Magic: The Gathering,Dominaria United,Rundvelt Hordemaster,1.4,1.52,-0.1200000000000001
657,Magic: The Gathering,Strixhaven: School of Mages,Quandrix Command,0.15,0.27,-0.12000000000000002
330,Magic: The Gathering,Return to Ravnica,Grisly Salvage,0.13,0.25,-0.12
196,Magic: The Gathering,Dominaria United,Herd Migration,0.1,0.21,-0.10999999999999999
526,Magic: The Gathering,Kaldheim,Tyrite Sanctum,0.35,0.45,-0.10000000000000003
369,Magic: The Gathering,Streets of New Capenna,Cut Your Losses,0.25,0.35,-0.09999999999999998
463,Magic: The Gathering,Dominaria United,The Raven Man,0.2,0.3,-0.09999999999999998
166,Magic: The Gathering,Kamigawa: Neon Dynasty,Spirited Companion,0.25,0.35,-0.09999999999999998
597,Magic: The Gathering,Commander Masters,Darksteel Monolith,7.49,7.59,-0.09999999999999964
287,Magic: The Gathering,Phyrexia: All Will Be One,Soulless Jailer,1.0,1.09,-0.09000000000000008
498,Magic: The Gathering,Modern Horizons 2,Gaea's Will,0.08,0.17,-0.09000000000000001
